"","terme.terme","tf.idf","log.entropy","lsa","lsa.tfidf","lsa.entropy"
"1254","CIV3504","CIV3504","CIV3504","CIV3504","CIV3504","CIV3504"
"1253","CIV3503","CIV6506","CIV3503","CIV3503","E-303","CIV6508"
"1311","CIV6510","BV180","CIV6510","CIV3502","CIV6504","CIV6506"
"1306","CIV6503","AE4165","CIV6503","CIV6508","ELE3005I","CIV1910"
"1310","CIV6508","ELE6215","CIV6508","TI310","BV150","CIV3503"
"1252","CIV3502","GBM6103A","CIV3502","CIV6503","GCH3520","CIV6510"
"1243","CIV2500","ICM4310","CIV2500","AE3400","CIV6508","CIV3502"
"1239","CIV1910","AE4155","CIV1910","GCH2210","GCH2210","GCH6311"
"1222","C-040","GLQ3105","C-040","CIV6510","MEC3420","CIV6503"
"1312","CIV6511","ICM4321","CIV6511","CIV3420","MEC3450","CIV3420"
