"","terme.terme","tf.idf","log.entropy","lsa","lsa.tfidf","lsa.entropy"
"1","AE4300","AE4300","AE4300","AE4300","AE4300","AE3300"
"2","R-110","R-110","R-110","AE3300","R-110","MEC6213"
"3","MEC2200","MEC2200","MEC2200","R-110","AE3300","MEC2200"
"4","MEC6213","MEC6213","MEC6213","MEC2200","MEC4220","R-110"
"5","AE3300","AE3300","AE3300","CIV2310","MEC2200","AE4300"
