"","terme.terme","tf.idf","log.entropy","lsa","lsa.tfidf","lsa.entropy"
"2325","Z-032","Z-032","Z-032","MEC6401","PHS1101A","MTR4900"
"1981","MEC6401","ELE3400","MEC6401","MTR4900","ELE1600A","Z-032"
"2159","MTR4900","PHS1101A","MTR4900","Z-032","ELE3400","MEC6401"
"1230","C-240","ELE6215","C-240","PHS1101A","ICM4313","PHS3000"
"2163","PHS1101A","GBM6103A","PHS1101A","MEC6413","ELE4455","PHS4312"
"2178","PHS3000","ICM4310","PHS3000","ELE3400","ELE6501","GCH6902"
"1566","GCH3100A","GLQ3105","GCH3100A","GCH6902","Z-032","PHS1101A"
"1594","GCH6303","ICM4321","GCH6303","GML6202","ELE6903","PHS1104"
"2083","MIN4994","GLQ1115","MIN4994","INF8007","MEC6202A","ELE3400"
"1473","ELE8460","AE4165","ELE8460","C-240","MEC8903","CIV6317"
