"","terme.terme","tf.idf","log.entropy","lsa","lsa.tfidf","lsa.entropy"
"1","INF6100","INF6100","INF6100","MEC6212A","INF6100","INF6100"
"2","IND6202","IND6202","IND6202","INF8007","INF1005C","MEC6212A"
"3","INF8007","INF1005C","INF8007","LOG2810","INF1010","INF1010"
"4","INF6953E","SMC4566","INF6953E","GU102","INF1005B","GLQ3210"
"5","SMC4566","INF6953E","SMC4566","INF6100","INF1005A","INF8007"
