"","terme.terme","tf.idf","log.entropy","lsa","lsa.tfidf","lsa.entropy"
"1","IND8138","IND8138","IND8138","ELE6701A","MEC3000","CIV3100"
"2","IND6212","IND6212","IND6212","ELE3005","IND6106","IND4444"
"3","LOG3410","LOG3410","LOG3410","CIV3100","IND6118","ELE3005"
"4","MEC2115","IND4444","MEC2115","SSH5501","IND6110A","MTH6407"
"5","IND4444","MEC2115","IND4444","Z-831","Z-911","IND6133"
