"","terme.terme","tf.idf","log.entropy","lsa","lsa.tfidf","lsa.entropy"
"1","MTH0102","MTH0102","MTH0102","MTH0102","MTH0102","MTH0102"
"2","Z-032","Z-032","Z-032","MTH1110","Z-032","MTH1110"
"3","GCH2120","GCH2120","GCH2120","MTH2210A","Z-031","Z-032"
"4","MEC8902A","MEC8902A","MEC8902A","MTH2210B","GCH2120","MTH1115"
"5","MTH1110","MTH1110","MTH1110","MTH3215","MTH1110","GCH2120"
