"","terme.terme","tf.idf","log.entropy","lsa","lsa.tfidf","lsa.entropy"
"1366","ELE1300","ELE1300","ELE1300","ELE1300","ELE1300","ELE1300"
"1367","ELE1402","CIV7911","ELE1402","ELE1402","ELE6423","CY240"
"1403","ELE4455","ELE2310","ELE4455","CY240","ELE6420","ELE1402"
"1357","E-301","ELE4455","E-301","ELE3312","ELE1402","ELE4455"
"1358","E-302","ELE1402","E-302","ELE4455","AR130","ELE3312"
"1402","ELE4452","R-110","ELE4452","ELE4307","ELE4307","CIV7911"
"1385","ELE3312","ELE6215","ELE3312","ELE4400","E-302","E-302"
"1359","E-303","GBM6103A","E-303","AR130","ELE4455","AE4200"
"1355","CY240","ICM4310","CY240","AE4200","ELE2310","E-301"
"1332","CIV7911","GLQ3105","CIV7911","E-302","ELE4451","ELE4307"
